ANIO;MES;APELLIDO;NOMBRES;CARGO;ASIG_MENSUALES;SALARIO_FAMILIAR;DESCUENTOS_MENSUALES;LIQUIDO
2012;ENERO;MACRI;MAURICIO;JEFE DE GOBIERNO;6300;0;1089,9;5210,1
2012;ENERO;VIDAL;MARIA EUGENIA;VICEJEFA DE GOBIERNO;52226,1;0;22879,3;29346,8
2012;ENERO;RODRIGUEZ LARRETA;HORACIO ANTONIO;JEFE DE GABINETE;25080;0;11223;13857
2012;ENERO;GRINDETTI;NESTOR OSVALDO;MINISTRO;25080;0;9026;16054
2012;ENERO;BULLRICH;ESTEBAN JOSE;MINISTRO;25080;0;9890,64;15189,4
2012;ENERO;CABRERA;FRANCISCO ADOLFO;MINISTRO;25080;0;8965,72;16114,3
2012;ENERO;CHAIN;DANIEL GUSTAVO;MINISTRO;25080;0;10098,7;14981,3
2012;ENERO;MONZO;EMILIO;MINISTRO;25080;0;7514,24;17565,8
2012;ENERO;STANLEY;CAROLINA;MINISTRO;25080;0;8952,51;16127,5
2012;ENERO;LOMBARDI;HERNAN SANTIAGO;MINISTRO;25080;0;9371,67;15708,3
2012;ENERO;SANTILLI;DIEGO CESAR;MINISTRO;25080;0;9889,75;15190,3
2012;ENERO;MONTENEGRO;GUILLERMO TRISTAN;MINISTRO;25080;0;9441,53;15638,5
2012;ENERO;IBARRA;ANDRES HORACIO;MINISTRO;25080;0;8972,01;16108
2012;ENERO;LEMUS;JORGE DANIEL;MINISTRO;25080;0;9889,75;15190,3
2012;ENERO;CLUSELLAS;PABLO;SECRETARIO LEGAL Y TECNICO;23826;0;8019,05;15807
2012;ENERO;DE GODOY;MIGUEL ANGEL;SECRETARIO MEDIOS;23826;0;9326,86;14499,1
2012;ENERO;KLEMENSIEWICZ;MARINA;SECRETARIA HABITAT;23826;0;8147,85;15678,2
2012;ENERO;MACCHIAVELLI;EDUARDO ALBERTO;SECRETARIO ATENC.CIUD;20579;515;6755,69;13823,3
2012;ENERO;LOSTRI;HECTOR ANTONIO;SECRETARIO GRAL. PLANEAMIENTO;25080;0;8620,17;16459,8
2012;ENERO;PEÑA;MARCOS;SECRETARIO GENERAL;25386;306;9978,61;15407,4
2012;ENERO;SALVAI;CARLOS FEDERICO;SECRETARIO GRAL. DES.CUIDADANO;23826;0;10840,2;12985,8
2012;ENERO;GAYTAN;PABLO;SECRETARIO GRAL COMUNICACIÓN;23826;0;9326,86;14499,1
2012;FEBRERO;MACRI;MAURICIO;JEFE DE GOBIERNO;6300;0;1089,9;5210,1
2012;FEBRERO;VIDAL;MARIA EUGENIA;VICEJEFA DE GOBIERNO;52226,1;0;19687,3;32538,8
2012;FEBRERO;RODRIGUEZ LARRETA;HORACIO ANTONIO;JEFE DE GABINETE;25080;0;11352,4;13727,6
2012;FEBRERO;GRINDETTI;NESTOR OSVALDO;MINISTRO;25080;0;9670,17;15409,8
2012;FEBRERO;BULLRICH;ESTEBAN JOSE;MINISTRO;25080;0;10591,4;14488,6
2012;FEBRERO;CABRERA;FRANCISCO ADOLFO;MINISTRO;25080;0;9820,88;15259,1
2012;FEBRERO;CHAIN;DANIEL GUSTAVO;MINISTRO;25080;0;10061,3;15018,7
2012;FEBRERO;MONZO;EMILIO;MINISTRO;25080;0;9278,84;15801,2
2012;FEBRERO;STANLEY;CAROLINA;MINISTRO;25080;0;10010,1;15069,9
2012;FEBRERO;LOMBARDI;HERNAN SANTIAGO;MINISTRO;25080;0;9994,17;15085,8
2012;FEBRERO;SANTILLI;DIEGO CESAR;MINISTRO;25080;0;9562,17;15517,8
2012;FEBRERO;MONTENEGRO;GUILLERMO TRISTAN;MINISTRO;25080;0;10128,8;14951,2
2012;FEBRERO;IBARRA;ANDRES HORACIO;MINISTRO;25080;0;11057,4;14022,6
2012;FEBRERO;REYBAUD;GRACIELA MABEL;MINISTRO;20064;0;8328,85;11735,2
2012;FEBRERO;CLUSELLAS;PABLO;SECRETARIO LEGAL Y TECNICO;23826;0;8739,7;15086,3
2012;FEBRERO;DE GODOY;MIGUEL ANGEL;SECRETARIO MEDIOS;23826;0;9931,9;13894,1
2012;FEBRERO;KLEMENSIEWICZ;MARINA;SECRETARIA HABITAT;23826;0;8825,58;15000,4
2012;FEBRERO;MACCHIAVELLI;EDUARDO ALBERTO;SECRETARIO ATENC.CIUD;24365;539;9378,32;14986,7
2012;FEBRERO;LOSTRI;HECTOR ANTONIO;SECRETARIO GRAL. PLANEAMIENTO;25080;0;9366,88;15713,1
2012;FEBRERO;PEÑA;MARCOS;SECRETARIO GENERAL;25382;302;9888,48;15493,5
2012;FEBRERO;SALVAI;CARLOS FEDERICO;SECRETARIO GRAL. DES.CUIDADANO;23826;0;9886,35;13939,7
2012;FEBRERO;GAYTAN;PABLO;SECRETARIO GRAL COMUNICACIÓN;23826;0;9931,89;13894,1
2012;MARZO;MACRI;MAURICIO;JEFE DE GOBIERNO;6300;0;1089,9;5210,1
2012;MARZO;VIDAL;MARIA EUGENIA;VICEJEFA DE GOBIERNO;31652,2;0;8124,11;23528,1
2012;MARZO;RODRIGUEZ LARRETA;HORACIO ANTONIO;JEFE DE GABINETE;25080;0;11843,4;13236,6
2012;MARZO;GRINDETTI;NESTOR OSVALDO;MINISTRO;25080;0;10316;14764
2012;MARZO;BULLRICH;ESTEBAN JOSE;MINISTRO;25080;0;6616,3;18463,7
2012;MARZO;CABRERA;FRANCISCO ADOLFO;MINISTRO;25080;0;10488,8;14591,2
2012;MARZO;CHAIN;DANIEL GUSTAVO;MINISTRO;25080;0;10659,6;14420,4
2012;MARZO;MONZO;EMILIO;MINISTRO;25080;0;10142,5;14937,5
2012;MARZO;STANLEY;CAROLINA;MINISTRO;25080;0;10735,4;14344,6
2012;MARZO;LOMBARDI;HERNAN SANTIAGO;MINISTRO;25080;0;10532;14548
2012;MARZO;SANTILLI;DIEGO CESAR;MINISTRO;25080;0;1157,62;23922,4
2012;MARZO;MONTENEGRO;GUILLERMO TRISTAN;MINISTRO;25080;0;10760,7;14319,3
2012;MARZO;IBARRA;ANDRES HORACIO;MINISTRO;25080;0;11756,1;13323,9
2012;MARZO;REYBAUD;GRACIELA MABEL;MINISTRO;20064;0;8826,45;11237,5
2012;MARZO;CLUSELLAS;PABLO;SECRETARIO LEGAL Y TECNICO;23826;0;9364,02;14462
2012;MARZO;DE GODOY;MIGUEL ANGEL;SECRETARIO MEDIOS;23826;0;10456,5;13369,5
2012;MARZO;KLEMENSIEWICZ;MARINA;SECRETARIA HABITAT;23826;0;9429,55;14396,5
2012;MARZO;MACCHIAVELLI;EDUARDO ALBERTO;SECRETARIO ATENC.CIUD;24707;539;9756,01;14951
2012;MARZO;LOSTRI;HECTOR ANTONIO;SECRETARIO GRAL. PLANEAMIENTO;25080;0;10013,8;15066,2
2012;MARZO;PEÑA;MARCOS;SECRETARIO GENERAL;25382;302;10668;14714
2012;MARZO;SALVAI;CARLOS FEDERICO;SECRETARIO GRAL. DES.CUIDADANO;23826;0;11191,2;12634,8
2012;MARZO;GAYTAN;PABLO;SECRETARIO GRAL COMUNICACIÓN;23826;0;10456,5;13369,5
2012;ABRIL;MACRI;MAURICIO;JEFE DE GOBIERNO;6300;0;1089,9;5210,1
