FECHA,NOMBRE,PUESTO,dolarAsignacion,dolarBruto
2012-01-01,"MACRI, MAURICIO",JEFE DE GOBIERNO,1575.0,1302.53
2012-01-01,"VIDAL, MARIA EUGENIA",VICEJEFA DE GOBIERNO,13056.52,7336.7
2012-01-01,"RODRIGUEZ LARRETA, HORACIO ANTONIO",JEFE DE GABINETE,6270.0,3464.25
2012-01-01,"GRINDETTI, NESTOR OSVALDO",MINISTRO,6270.0,4013.5
2012-01-01,"BULLRICH, ESTEBAN JOSE",MINISTRO,6270.0,3797.35
2012-01-01,"CABRERA, FRANCISCO ADOLFO",MINISTRO,6270.0,4028.58
2012-01-01,"CHAIN, DANIEL GUSTAVO",MINISTRO,6270.0,3745.32
2012-01-01,"MONZO, EMILIO",MINISTRO,6270.0,4391.45
2012-01-01,"STANLEY, CAROLINA",MINISTRO,6270.0,4031.88
2012-01-01,"LOMBARDI, HERNAN SANTIAGO",MINISTRO,6270.0,3927.08
2012-01-01,"SANTILLI, DIEGO CESAR",MINISTRO,6270.0,3797.58
2012-01-01,"MONTENEGRO, GUILLERMO TRISTAN",MINISTRO,6270.0,3909.62
2012-01-01,"IBARRA, ANDRES HORACIO",MINISTRO,6270.0,4027.0
2012-01-01,"LEMUS, JORGE DANIEL",MINISTRO,6270.0,3797.58
2012-01-01,"CLUSELLAS, PABLO",SECRETARIO LEGAL Y TECNICO,5956.5,3951.75
2012-01-01,"DE GODOY, MIGUEL ANGEL",SECRETARIO MEDIOS,5956.5,3624.78
2012-01-01,"KLEMENSIEWICZ, MARINA",SECRETARIA HABITAT,5956.5,3919.55
2012-01-01,"MACCHIAVELLI, EDUARDO ALBERTO",SECRETARIO ATENC.CIUD,5144.75,3455.82
2012-01-01,"LOSTRI, HECTOR ANTONIO",SECRETARIO GRAL. PLANEAMIENTO,6270.0,4114.95
2012-01-01,"PEÑA, MARCOS",SECRETARIO GENERAL,6346.5,3851.85
2012-01-01,"SALVAI, CARLOS FEDERICO",SECRETARIO GRAL. DES.CUIDADANO,5956.5,3246.45
2012-01-01,"GAYTAN, PABLO",SECRETARIO GRAL COMUNICACIÓN,5956.5,3624.78
2012-02-01,"MACRI, MAURICIO",JEFE DE GOBIERNO,1575.0,1302.53
2012-02-01,"VIDAL, MARIA EUGENIA",VICEJEFA DE GOBIERNO,13056.52,8134.7
2012-02-01,"RODRIGUEZ LARRETA, HORACIO ANTONIO",JEFE DE GABINETE,6270.0,3431.9
2012-02-01,"GRINDETTI, NESTOR OSVALDO",MINISTRO,6270.0,3852.45
2012-02-01,"BULLRICH, ESTEBAN JOSE",MINISTRO,6270.0,3622.15
2012-02-01,"CABRERA, FRANCISCO ADOLFO",MINISTRO,6270.0,3814.78
2012-02-01,"CHAIN, DANIEL GUSTAVO",MINISTRO,6270.0,3754.68
2012-02-01,"MONZO, EMILIO",MINISTRO,6270.0,3950.3
2012-02-01,"STANLEY, CAROLINA",MINISTRO,6270.0,3767.48
2012-02-01,"LOMBARDI, HERNAN SANTIAGO",MINISTRO,6270.0,3771.45
2012-02-01,"SANTILLI, DIEGO CESAR",MINISTRO,6270.0,3879.45
2012-02-01,"MONTENEGRO, GUILLERMO TRISTAN",MINISTRO,6270.0,3737.8
2012-02-01,"IBARRA, ANDRES HORACIO",MINISTRO,6270.0,3505.65
2012-02-01,"REYBAUD, GRACIELA MABEL",MINISTRO,5016.0,2933.8
2012-02-01,"CLUSELLAS, PABLO",SECRETARIO LEGAL Y TECNICO,5956.5,3771.58
2012-02-01,"DE GODOY, MIGUEL ANGEL",SECRETARIO MEDIOS,5956.5,3473.52
2012-02-01,"KLEMENSIEWICZ, MARINA",SECRETARIA HABITAT,5956.5,3750.1
2012-02-01,"MACCHIAVELLI, EDUARDO ALBERTO",SECRETARIO ATENC.CIUD,6091.25,3746.68
2012-02-01,"LOSTRI, HECTOR ANTONIO",SECRETARIO GRAL. PLANEAMIENTO,6270.0,3928.28
2012-02-01,"PEÑA, MARCOS",SECRETARIO GENERAL,6345.5,3873.38
2012-02-01,"SALVAI, CARLOS FEDERICO",SECRETARIO GRAL. DES.CUIDADANO,5956.5,3484.92
2012-02-01,"GAYTAN, PABLO",SECRETARIO GRAL COMUNICACIÓN,5956.5,3473.52
2012-03-01,"MACRI, MAURICIO",JEFE DE GOBIERNO,1575.0,1302.53
2012-03-01,"VIDAL, MARIA EUGENIA",VICEJEFA DE GOBIERNO,7913.05,5882.02
2012-03-01,"RODRIGUEZ LARRETA, HORACIO ANTONIO",JEFE DE GABINETE,6270.0,3309.15
2012-03-01,"GRINDETTI, NESTOR OSVALDO",MINISTRO,6270.0,3691.0
2012-03-01,"BULLRICH, ESTEBAN JOSE",MINISTRO,6270.0,4615.92
2012-03-01,"CABRERA, FRANCISCO ADOLFO",MINISTRO,6270.0,3647.8
2012-03-01,"CHAIN, DANIEL GUSTAVO",MINISTRO,6270.0,3605.1
2012-03-01,"MONZO, EMILIO",MINISTRO,6270.0,3734.38
2012-03-01,"STANLEY, CAROLINA",MINISTRO,6270.0,3586.15
2012-03-01,"LOMBARDI, HERNAN SANTIAGO",MINISTRO,6270.0,3637.0
2012-03-01,"SANTILLI, DIEGO CESAR",MINISTRO,6270.0,5980.6
2012-03-01,"MONTENEGRO, GUILLERMO TRISTAN",MINISTRO,6270.0,3579.82
2012-03-01,"IBARRA, ANDRES HORACIO",MINISTRO,6270.0,3330.98
2012-03-01,"REYBAUD, GRACIELA MABEL",MINISTRO,5016.0,2809.38
2012-03-01,"CLUSELLAS, PABLO",SECRETARIO LEGAL Y TECNICO,5956.5,3615.5
2012-03-01,"DE GODOY, MIGUEL ANGEL",SECRETARIO MEDIOS,5956.5,3342.38
2012-03-01,"KLEMENSIEWICZ, MARINA",SECRETARIA HABITAT,5956.5,3599.12
2012-03-01,"MACCHIAVELLI, EDUARDO ALBERTO",SECRETARIO ATENC.CIUD,6176.75,3737.75
